[16:27:50.149] [INFO   ] thread main starting.
[16:27:50.155] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:27:50.157] [SEVERE ] configuration file was loaded from resources directory.
[16:27:51.275] [INFO   ] thread dealer starting.
[16:27:51.276] [INFO   ] Thread playerstarting.
[16:27:51.276] [INFO   ] Thread playerstarting.
[16:27:51.276] [INFO   ] Thread dealer starting.
[16:27:51.276] [INFO   ] Thread playerstarting.
[16:27:51.276] [INFO   ] Thread playerstarting.
[16:27:51.277] [INFO   ] Thread computer-0 starting.
[16:27:51.278] [INFO   ] Thread computer-2 starting.
[16:27:51.278] [INFO   ] Thread computer-1 starting.
[16:27:51.279] [INFO   ] Thread computer-3 starting.
[16:27:52.289] [SEVERE ] placing card 26 in slot 0
[16:27:53.279] [SEVERE ] player 3 placing token on slot 0
[16:27:53.287] [SEVERE ] player 2 placing token on slot 0
[16:27:53.290] [SEVERE ] player 1 placing token on slot 0
[16:27:53.292] [SEVERE ] removing player 3 token from slot 0
[16:27:53.293] [SEVERE ] placing card 77 in slot 1
[16:27:53.295] [SEVERE ] player 3 placing token on slot 0
[16:27:53.295] [SEVERE ] player 2 placing token on slot 1
[16:27:53.297] [SEVERE ] removing player 2 token from slot 1
[16:27:53.299] [SEVERE ] player 3 placing token on slot 1
[16:27:53.301] [SEVERE ] removing player 3 token from slot 0
[16:27:53.306] [SEVERE ] player 3 placing token on slot 0
[16:27:53.308] [SEVERE ] removing player 2 token from slot 0
[16:27:53.315] [SEVERE ] player 4 placing token on slot 1
[16:27:53.315] [SEVERE ] player 1 placing token on slot 1
[16:27:53.321] [SEVERE ] removing player 3 token from slot 0
[16:27:53.323] [SEVERE ] removing player 1 token from slot 0
[16:27:53.325] [SEVERE ] removing player 1 token from slot 1
[16:27:53.326] [SEVERE ] player 2 placing token on slot 1
[16:27:53.329] [SEVERE ] player 2 placing token on slot 0
[16:27:53.332] [SEVERE ] player 1 placing token on slot 1
[16:27:53.337] [SEVERE ] removing player 3 token from slot 1
[16:27:53.344] [SEVERE ] player 3 placing token on slot 1
[16:27:53.344] [SEVERE ] player 4 placing token on slot 0
[16:27:53.344] [SEVERE ] removing player 2 token from slot 0
[16:27:53.346] [SEVERE ] removing player 2 token from slot 1
[16:27:53.353] [SEVERE ] removing player 4 token from slot 1
[16:27:53.356] [SEVERE ] removing player 1 token from slot 1
[16:27:53.358] [SEVERE ] player 2 placing token on slot 1
[16:27:53.361] [SEVERE ] player 1 placing token on slot 1
[16:27:53.366] [SEVERE ] player 1 placing token on slot 0
[16:27:53.366] [SEVERE ] removing player 4 token from slot 0
[16:27:53.369] [SEVERE ] player 4 placing token on slot 1
[16:27:53.370] [SEVERE ] player 2 placing token on slot 0
[16:27:53.370] [SEVERE ] removing player 1 token from slot 0
[16:27:53.371] [SEVERE ] removing player 2 token from slot 1
[16:27:53.372] [SEVERE ] player 3 placing token on slot 0
[16:27:53.373] [SEVERE ] removing player 4 token from slot 1
[16:27:53.374] [SEVERE ] player 1 placing token on slot 0
[16:27:53.377] [SEVERE ] player 2 placing token on slot 1
[16:27:53.378] [SEVERE ] removing player 3 token from slot 1
[16:27:53.380] [SEVERE ] removing player 2 token from slot 1
[16:27:53.381] [SEVERE ] removing player 1 token from slot 0
[16:27:53.382] [SEVERE ] player 2 placing token on slot 1
[16:27:53.383] [SEVERE ] removing player 3 token from slot 0
[16:27:53.384] [SEVERE ] removing player 1 token from slot 1
[16:27:53.385] [SEVERE ] player 3 placing token on slot 1
[16:27:53.386] [SEVERE ] removing player 2 token from slot 0
[16:27:53.389] [SEVERE ] player 2 placing token on slot 0
[16:27:53.390] [SEVERE ] player 4 placing token on slot 0
[16:27:53.393] [SEVERE ] player 4 placing token on slot 1
[16:27:53.394] [SEVERE ] removing player 2 token from slot 1
[16:27:53.394] [SEVERE ] player 1 placing token on slot 0
[16:27:53.396] [SEVERE ] removing player 3 token from slot 1
[16:27:53.396] [SEVERE ] removing player 4 token from slot 0
[16:27:53.397] [SEVERE ] player 2 placing token on slot 1
[16:27:53.398] [SEVERE ] removing player 1 token from slot 0
[16:27:53.399] [SEVERE ] removing player 2 token from slot 1
[16:27:53.402] [SEVERE ] player 2 placing token on slot 1
